disease,Description,Cause,Prevention,Medication
Strawberry___healthy,Healthy strawberry plants show no signs of disease or pest damage. Leaves are green and fruit develops normally.,,"Regular care and maintenance including proper pruning, watering, and fertilization.",
Tomato___Bacterial_spot,"Bacterial spot is a serious disease that affects tomato plants, causing dark, water-soaked lesions on leaves, stems, and fruit.",Bacterial spot is caused by several species of the bacterium Xanthomonas.,"Use resistant varieties, apply bactericides, and practice good field sanitation.",Use bactericides such as copper hydroxide or streptomycin.
Tomato___Early_blight,"Early blight is a common fungal disease that affects tomato plants, causing dark, concentric rings on leaves, stems, and fruit.",Early blight is caused by the fungus Alternaria solani.,"Use resistant varieties, apply fungicides, and rotate crops.","Use fungicides such as chlorothalonil, mancozeb, or azoxystrobin."
Tomato___Late_blight,"Late blight is a devastating fungal disease that affects tomato plants, causing large, water-soaked lesions on leaves, stems, and fruit.",Late blight is caused by the oomycete Phytophthora infestans.,"Use resistant varieties, apply fungicides, and practice good field sanitation.","Use fungicides such as mancozeb, chlorothalonil, or fluazinam."
Tomato___Leaf_Mold,"Leaf mold is a fungal disease that affects tomato plants, causing yellow spots on the upper leaf surface and a velvety, olive-green mold on the underside.",Leaf mold is caused by the fungus Passalora fulva.,"Improve air circulation, reduce humidity, and apply fungicides.","Use fungicides such as chlorothalonil, mancozeb, or copper fungicides."
Tomato___Septoria_leaf_spot,"Septoria leaf spot is a fungal disease that affects tomato plants, causing small, circular, gray spots with dark borders on leaves.",Septoria leaf spot is caused by the fungus Septoria lycopersici.,"Use resistant varieties, apply fungicides, and practice good field sanitation.","Use fungicides such as chlorothalonil, mancozeb, or copper fungicides."
Tomato___Spider_mites Two-spotted_spider_mite,"Two-spotted spider mite infestations cause stippling and bronzing on tomato leaves, leading to leaf drop and reduced yields.",Two-spotted spider mites are caused by the mite Tetranychus urticae.,"Use miticides, encourage natural predators, and practice good field sanitation.","Use miticides such as abamectin, bifenazate, or spiromesifen."
Tomato___Target_Spot,"Target spot is a fungal disease that affects tomato plants, causing concentric rings and dark lesions on leaves, stems, and fruit.",Target spot is caused by the fungus Corynespora cassiicola.,"Use resistant varieties, apply fungicides, and practice good field sanitation.","Use fungicides such as chlorothalonil, mancozeb, or azoxystrobin."
Tomato___Tomato_Yellow_Leaf_Curl_Virus,"Tomato yellow leaf curl virus (TYLCV) is a viral disease that affects tomato plants, causing yellowing and curling of leaves and stunted growth.",TYLCV is transmitted by the whitefly Bemisia tabaci.,"Use resistant varieties, control whitefly populations, and use reflective mulches.","Use insecticides such as imidacloprid, spinosad, or neem oil."
Tomato___Tomato_mosaic_virus,"Tomato mosaic virus (ToMV) is a viral disease that affects tomato plants, causing mottling, yellowing, and distortion of leaves and fruit.",ToMV is caused by the tomato mosaic virus.,"Use resistant varieties, practice good sanitation, and control insect vectors.","Use insecticides such as imidacloprid, spinosad, or neem oil."
Tomato___healthy,Healthy tomato plants show no signs of disease or pest damage. Leaves are green and fruit develops normally.,,"Regular care and maintenance including proper fertilization, watering, and pest control.",
Peach___healthy,Healthy peach trees show no signs of disease or pest damage. Leaves are green and fruit develops normally.,N/A,"Regular care and maintenance including proper pruning, watering, and pest control.",N/A
